userName,score,at,content,topic_0,topic_1,topic_2,topic_3,topic_id,Sentiment_Label,Sentiment_NB,clean_text
Pengguna Google,1,2026-04-06 13:24:48,buggg trssss masa gabisaa di buka si!!!!!,0.0317679149210682,0.905528739116092,0.0313354730925208,0.0313678728703187,Topik 1,Netral,Negatif,error tidak bisa buka
Pengguna Google,1,2026-04-06 13:23:35,kenapa akun aku TDK bisa dibuka padahal umur ku 43 THN kn aneh beri bintang 1 aja ke apk tiktonnya prasan TDK melanggar atrn parah akun di blokir ntah knp,0.6347102367600413,0.3482683810182471,0.0084642933584171,0.0085570888632943,Topik 0,Netral,Positif,akun buka umur thn aneh bintang apk tiktonnya prasan langgar atrn parah akun blokir
Pengguna Google,2,2026-04-06 13:22:36,"aneh ni apk pake operator tertentu yang bisa, gw pake operator A gak bisa, pakek operator B bisa, tolong di perbaiki bug nya",0.5040291594359415,0.4730166173099314,0.0115737730744738,0.0113804501796531,Topik 0,Negatif,Negatif,aneh apk pakai operator pakai operator pakai operator tolong baik error nya
Pengguna Google,5,2026-04-06 13:21:52,sangat bagus,0.08333333426591,0.083333334116811,0.7489177344334214,0.0844155971838575,Topik 2,Positif,Positif,bagus
Pengguna Google,4,2026-04-06 13:21:14,enak banget tapi sayang nya jarang buat anak anak,0.4062922968551613,0.0258466030559078,0.542722046629772,0.025139053459159,Topik 2,Netral,Positif,enak sayang nya jarang anak anak
Pengguna Google,1,2026-04-06 13:20:09,kasih 1 aja aplikasi banyak iklan judol,0.0380119814163598,0.2256472042092541,0.4594181489812962,0.2769226653930898,Topik 2,Netral,Negatif,kasih aplikasi iklan judol
Pengguna Google,5,2026-04-06 13:19:54,bagus gak ngelek,0.0652586043939658,0.4791830456224506,0.3930549772209999,0.0625033727625834,Topik 1,Positif,Positif,bagus ngelek
Pengguna Google,4,2026-04-06 13:19:36,"bagus, tapi di aku blm ada fitur vn😭",0.7472417892929255,0.0214031416603708,0.1251748305385449,0.1061802385081587,Topik 0,Positif,Positif,bagus blm fitur
Pengguna Google,3,2026-04-06 13:15:23,"Ni tiktok kok gak mau di update ya, habis di update terus gagal, hadeh",0.0172000740537014,0.9493738191730586,0.0167350535734191,0.0166910531998206,Topik 1,Negatif,Negatif,tiktok update habis update gagal aduh
Pengguna Google,5,2026-04-06 13:13:41,"udah main tiktok dari 2020 tanggal 1 Januari, btww boleh gak saya memasuki program beta? kalau tidak boleh tidak apa apa",0.8989582164292351,0.0122829061165802,0.0767769996396588,0.0119818778145259,Topik 0,Netral,Positif,main tiktok tanggal januari btww pasuk program beta
